id;title;description;publication_date;price
1;worth unfurl whose;finally excitedly;2024-11-03;19624.98
2;without;mid grok;2024-11-03;1916.39
3;as;why aha delight;2024-11-03;1544.63
4;gah finally;ultimately for;2024-11-03;16141.35
5;via supposing loyally;hubris until;2024-11-03;25592.26
6;knuckle ripe uh-huh;outside;2024-11-03;2486.1
7;small;hmph unique;2024-11-03;29016.86
8;legging ouch;phooey;2024-11-02;30039.46
9;reproach considering mainstream;actually naturally overdub;2024-11-03;15903.76
10;wing merrily husky;drug;2024-11-03;17837.75
